,E13ABetn01r01r1,E13ABetn01r01r2,E13ABetn01r01r3,E13ABetn01r01r4
2001,47.12,8.675,47.16,29.782
2002,35.821,5.518,17.618,76.381
2003,49.284,7.653,67.283,21.659
2004,52.013,8.226,11.408,40.739
2005,47.843,60.693,40.074,33.602
2006,64.25,35.11,24.679,47.779
2007,61.772,20.66,7.804,28.248
2008,122.782,59.164,6.164,68.338
2009,178.197,50.528,51.348,75
2010,63.578,1.168,2.777,4.121
2011,47.471,0.747,3.055,7.36
2012,0,0,0,0
2013,57.221,0.856,56.443,60.608
2014,35.177,0.792,46.625,45.467
2015,22.816,0.696,9.04,29.806
2016,56.834,0.817,42.44,30.863
2017,47.521,0.968,44.756,30.849
2018,48.79,0.792,91.263,22.734
2019,46.278,0.92,7.358,17.392
2020,53.102,1.457,34.3,36.259