,E13ABetn02v04r1,E13ABetn02v04r2,E13ABetn02v04r3,E13ABetn02v04r4
2001,19.091,40.844,8.845,5.975
2002,4.348,113.463,54.56,50.21
2003,5.978,43.041,9.08,7.461
2004,44.052,148.005,61.235,53.018
2005,38.774,117.938,135.461,94.183
2006,65.002,91.1,107.29,69.975
2007,46.196,112.195,60.528,62.251
2008,22.408,49.868,70.215,74.932
2009,34.565,105.39,143.04,118.011
2010,54.481,55.816,139.855,124.006
2011,39.044,7.838,109.658,71.743
2012,39.047,8.756,70.215,35.023
2013,48.076,85.657,142.444,122.464
2014,21.258,27.231,32.568,22.475
2015,3.306,11.615,7.461,9.28
2016,28.344,40.013,71.973,92.587
2017,4.348,28.859,92.686,78.133
2018,6.522,54.69,19.511,12.902
2019,4.221,11.342,56.92,120.233
2020,2.326,33.965,6.836,24.638