,E13CBetn07v03r1,E13CBetn07v03r2,E13CBetn07v03r3,E13CBetn07v03r4
2007,77.643,126.814,65.797,113.859
2008,263.986,218.958,266.648,170.622
2009,245.097,234.325,233.218,170.019
2010,159.457,179.081,168.988,104.27
2011,89.346,117.142,96.097,42.185
2012,68.098,69.903,49.492,32.194
2013,46.96,60.28,40.877,28.37
2014,102.089,108.92,104.317,88.847
2015,46.909,62.683,28.266,12.261
2016,72.664,94.37,73.821,58.728
2017,88.519,120.338,93.882,48.964
2018,50.106,49.286,38.862,68.558
2019,52.703,34.158,60.724,38.326
2020,0.892,1.169,21.875,5.156