,E13DBetn02p04r1,E13DBetn02p04r2,E13DBetn02p04r3,E13DBetn02p04r4
2008,29.503,46.586,37.764,41.855
2009,24.749,26.475,23.449,25.593
2010,25.269,22.288,14.926,23.708
2011,48.161,35.644,31.022,60.595
2012,80.8,62.374,78.981,92.119
2013,64.482,39.745,34.093,68.446
2014,70.807,69.478,44.066,53.174
2015,68.183,50.872,34.795,55.542
2016,19.728,19.275,21.158,18.188
2017,68.494,86.694,59.866,67.664
2018,104.581,111.368,88.219,103.292
2019,91.58,116.224,83.771,84.867
2020,70.218,71.333,56.299,0.588