,E13DBetn02t02r1,E13DBetn02t02r2,E13DBetn02t02r3,E13DBetn02t02r4
2009,78.443,76.55,112.173,69.179
2010,68.228,53.559,54.152,60.294
2011,185.513,230.896,217.809,228.545
2012,110.062,113.762,114.873,140.222
2013,179.084,160.759,175.162,182.871
2014,200.769,186.783,204.697,223.401
2015,58.504,16.909,69.946,72.704
2016,110.683,106.066,122.132,127.36
2017,251.522,237.226,306.038,317.914
2018,411.932,456.554,478.366,390.732
2019,333.729,415.24,392.813,274.165
2020,238.264,220.245,249.34,221.657