,E13DBetn03v02r1,E13DBetn03v02r2,E13DBetn03v02r3,E13DBetn03v02r4
2006,96.948,79.283,64.156,162.95
2007,100.168,126.495,120.657,101.18
2008,117.769,125.465,126.264,92.123
2009,98.79,108.175,123.762,90.08
2010,143.992,149.272,140.626,121.698
2011,147.515,162.165,191.853,145.867
2012,73.364,119.061,124.657,94.339
2013,29.31,73.917,110.955,68.131
2014,21.46,8.004,55.092,41.583
2015,25.154,39.855,39.558,20.751
2016,41.709,43.575,42.253,69.433
2017,57.32,77.567,70.529,59.974
2018,168.531,186.435,191.372,224.755
2019,97.633,2.988,92.587,176.676
2020,110.383,86.308,95.151,131.391