,E13VBetn03s03r1,E13VBetn03s03r2,E13VBetn03s03r3,E13VBetn03s03r4
2008,95.016,94.566,65.457,112.339
2009,251.899,219.791,232.32,246.008
2010,91.524,69.079,73.129,77.565
2011,109.19,57.491,62.943,102.323
2012,69.581,48.391,65.602,71.797
2013,129.97,84.866,101.289,135.901
2014,118.033,114.735,121.475,111.576
2015,46.388,31.822,26.482,28.302
2016,55.403,74.501,73.802,62.378
2017,132.251,117.46,150.495,171.708
2018,348.775,314.898,444.695,397.375
2019,201.415,210.976,280.733,188.689
2020,254.464,251.535,255.916,217.505