,E13VBetn03t02r1,E13VBetn03t02r2,E13VBetn03t02r3,E13VBetn03t02r4
2008,86.874,91.435,62.521,83.745
2009,129.413,146.107,137.852,122.424
2010,85.12,71.155,60.407,73.415
2011,72.967,42.841,46.677,56.098
2012,42.143,41.49,49.955,48.104
2013,62.906,60.377,59.246,66.28
2014,142.817,130.842,105.154,137.852
2015,39.747,42.767,35.849,28.365
2016,60.495,57.916,67.951,71.723
2017,85.618,80.856,80.338,100.16
2018,325.988,322.807,319.81,392.185
2019,201.949,233.095,220.94,229.119
2020,340.177,279.29,294.545,311.601