,E13ABetn01r07r1,E13ABetn01r07r2,E13ABetn01r07r3,E13ABetn01r07r4
2000,0,0,0,0
2001,0,28.934,18.232,0
2002,38.062,40.503,40.457,51.856
2003,82.727,103.497,76.44,153.71
2004,19.431,36.647,79.282,145.055
2005,79.41,95.277,101.273,91.481
2006,5.488,0,0,0
2007,40.647,0,0,0
2008,56.815,42.911,24.613,30.903
2009,39.464,31.029,47.829,37.104
2010,33.961,52.104,58.246,61.735
2011,23.535,37.976,0,0
2012,27.104,126.648,97.785,48.028
2013,14.969,93.389,0,99.401
2014,0,22.453,0,0
2015,0,39.845,0,0
2016,0,0,0,0
2017,0,42.737,56.599,49.087
2018,0,29.598,16.487,34.667
2019,0,19.285,32.88,10.285
2020,0,0,18.741,13.111