,E13ABetn03v03r1,E13ABetn03v03r2,E13ABetn03v03r3,E13ABetn03v03r4
2008,75.502,78.088,77.33,62.733
2009,202.962,184.805,205.45,190.54
2010,236.516,247.31,225.972,216.532
2011,147.317,135.809,141.401,146.057
2012,208.101,191.415,206.822,228.02
2013,191.021,189.18,142.036,158.024
2014,183.449,187.635,143.313,154.635
2015,114.502,116.324,105.67,105.349
2016,137.112,145.39,132.331,123.796
2017,112.832,149.748,130.777,124.513
2018,16.349,71.735,0,0
2019,73.888,133.044,103.816,33.459
2020,0,0,0,0