,E13CBetn01s04r1,E13CBetn01s04r2,E13CBetn01s04r3,E13CBetn01s04r4
2008,266.18,87.591,124.465,110.128
2009,79.264,140.268,170.143,141.772
2010,158.192,270.5,237.395,226.356
2011,165.695,194.204,197.207,207.82
2012,130.855,139.043,133.357,157.971
2013,164.149,234.321,181.821,202.849
2014,18.813,0,0,0
2015,281.892,128.508,26.736,105.322
2016,86.899,57.539,59.792,70.29
2017,149.89,92.473,57.686,89.425
2018,138.254,131.689,120.233,141.029
2019,151.288,63.247,110.53,129.662
2020,34.373,0,0,0