,E13DBetn01v01r1,E13DBetn01v01r2,E13DBetn01v01r3,E13DBetn01v01r4
2001,42.673,9.798,18.701,13.888
2002,25.288,48.37,43.478,25.653
2003,0,74.464,65.99,66.529
2004,31.77,56.002,53.077,59.896
2005,76.188,41.975,76.404,50.227
2006,51.838,59.249,0,72.421
2007,88.257,63.233,70.166,72.974
2008,86.488,99.205,0,70.748
2009,22.283,39.164,15.558,36.267
2010,107.335,96.349,101.759,88.579
2011,148.913,159.273,140.871,158.01
2012,63.261,99.494,77.861,82.469
2013,91.951,102.753,62.357,100.768
2014,130.6,176.638,50.185,143.812
2015,75.197,121.837,0,83.914
2016,0,46.752,0,14.172
2017,40.349,38.047,0,25.779
2018,0,0,0,25.888
2019,0,0,0,35.583
2020,0,13.939,0,0