,E13VBetn01s02r1,E13VBetn01s02r2,E13VBetn01s02r3,E13VBetn01s02r4
2001,102.23,40.525,81.472,58.404
2002,61.895,83.33,73.458,79.871
2003,157.969,203.175,202.074,193.744
2004,0,0,0,0
2005,152.422,215.316,233.891,181.397
2006,0,0,0,0
2007,119.172,150.75,160.948,126.182
2008,87.637,109.788,94.829,87.583
2009,201.838,215.919,265.801,213.143
2010,88.913,86.957,112.238,73.949
2011,27.189,59.058,95.842,21.782
2012,0,0,0,0
2013,0,0,0,0
2014,15.892,63.868,104.53,25.301
2015,0,30.227,48.338,0
2016,0,0,37.02,0
2017,0,0,69.618,0
2018,0,0,198.221,21.739
2019,14.742,0,89.68,0
2020,0,44.629,69.336,52.219