,E13VBetn02r01r1,E13VBetn02r01r2,E13VBetn02r01r3,E13VBetn02r01r4
2005,117.445,131.363,275.238,167.775
2006,251.675,206.979,75.062,158.296
2007,360.733,334.205,372.17,367.842
2008,269.012,247.177,277.688,327.347
2009,270.208,275.486,314.396,421.316
2010,210.87,163.955,136.486,289.377
2011,99.41,83.874,103.097,178.737
2012,16.09,6.681,11.885,38.46
2013,70.29,46.346,61.149,118.613
2014,8.262,13.844,0,54.401
2015,51.204,90.598,0,124.15
2016,7.838,22.114,0,58.946
2017,40.638,61.794,35.218,101.978
2018,264.878,206.44,180.625,415.567
2019,47.616,147.529,179.163,238.652
2020,0,71.313,180.464,150.802